experiment,activity,next_activity,frequency
17,productCallsForTransportRegion3,assignedToVehicleRegion3,151470
17,assignedToVehicleRegion1,pickedUpRegion1,151465
17,assignedToVehicleRegion3,pickedUpRegion3,151430
17,pickedUpRegion1,droppedOffRegion2,151424
17,pickedUpRegion3,droppedOffRegion3,151405
17,startProcessingRegion2,finishedProcessingRegion2,150463
18,arrivalAtSource,productCallsForTransportRegion1,151493
18,productCallsForTransportRegion1,assignedToVehicleRegion1,151492
18,droppedOffRegion2,startProcessingRegion2,151472
18,assignedToVehicleRegion1,pickedUpRegion1,151470
18,finishedProcessingRegion2,productCallsForTransportRegion3,151459
18,productCallsForTransportRegion3,assignedToVehicleRegion3,151455
18,assignedToVehicleRegion3,pickedUpRegion3,151427
18,pickedUpRegion1,droppedOffRegion2,151411
18,pickedUpRegion3,droppedOffRegion3,151390
18,startProcessingRegion2,finishedProcessingRegion2,150449
19,arrivalAtSource,productCallsForTransportRegion1,151493
19,productCallsForTransportRegion1,assignedToVehicleRegion1,151478
19,droppedOffRegion2,startProcessingRegion2,151467
19,finishedProcessingRegion2,productCallsForTransportRegion3,151466
19,pickedUpRegion1,droppedOffRegion2,151435
19,assignedToVehicleRegion1,pickedUpRegion1,151382
19,assignedToVehicleRegion3,pickedUpRegion3,151259
19,productCallsForTransportRegion3,assignedToVehicleRegion3,151243
19,pickedUpRegion3,droppedOffRegion3,151219
19,startProcessingRegion2,finishedProcessingRegion2,150427
19,productCallsForTransportRegion1,productDisposed,6
20,finishedProcessingRegion2,productCallsForTransportRegion3,151496
20,arrivalAtSource,productCallsForTransportRegion1,151493
20,droppedOffRegion2,startProcessingRegion2,151467
20,productCallsForTransportRegion1,assignedToVehicleRegion1,151456
20,assignedToVehicleRegion1,pickedUpRegion1,151422
20,pickedUpRegion1,droppedOffRegion2,151373
20,productCallsForTransportRegion3,assignedToVehicleRegion3,151278
20,pickedUpRegion3,droppedOffRegion3,151264
20,assignedToVehicleRegion3,pickedUpRegion3,151236
20,startProcessingRegion2,finishedProcessingRegion2,150462
20,productCallsForTransportRegion1,productDisposed,8
21,droppedOffRegion2,startProcessingRegion2,151494
21,arrivalAtSource,productCallsForTransportRegion1,151493
21,finishedProcessingRegion2,productCallsForTransportRegion3,151482
21,productCallsForTransportRegion1,assignedToVehicleRegion1,151478
21,assignedToVehicleRegion1,pickedUpRegion1,151430
21,pickedUpRegion1,droppedOffRegion2,151415
21,assignedToVehicleRegion3,pickedUpRegion3,151288
21,productCallsForTransportRegion3,assignedToVehicleRegion3,151266
21,pickedUpRegion3,droppedOffRegion3,151209
21,startProcessingRegion2,finishedProcessingRegion2,150458
21,productCallsForTransportRegion1,productDisposed,5
22,arrivalAtSource,productCallsForTransportRegion1,151493
