experiment,run,number_of_cases,number_of_events,number_of_activities,number_of_variants,average_case_duration_min,longest_case_duration_min,average_final_quality
14,16,7509,81885,11,8,4.24473785568429,8.65157,89.92036930176309
14,17,7693,83944,11,10,4.233803979591836,7.960218333333333,89.7910174606762
14,18,7545,82342,11,11,4.239522207422134,7.955031666666667,90.05771768865141
14,19,7725,84367,11,8,4.226085053290183,7.739778333333334,89.68854359815617
14,20,7608,83038,11,8,4.244765396950578,7.981581666666667,90.02853338036006
15,1,7553,82491,11,12,4.2799813372169995,8.762436666666668,89.71876807572336
15,2,7736,84412,11,9,4.2853268276025505,14.204771666666666,89.54730974185645
15,3,7568,82571,11,10,4.263768932346723,7.833881666666667,89.68693709999698
15,4,7703,83952,11,10,4.278537453156779,11.240153333333334,89.39452296676002
15,5,7666,83704,11,10,4.301656696451865,12.477826666666665,89.46120786983435
15,6,7703,84142,11,11,4.27348427863603,9.350785,89.42074256157822
15,7,7533,82213,11,8,4.272716832603213,8.245043333333333,89.62394936757246
15,8,7605,83013,11,6,4.285920858645627,11.943755000000001,89.518680403478
15,9,7631,83262,11,9,4.269722375180186,8.63457,89.42819705607516
15,10,7571,82588,11,11,4.291727758112094,9.808958333333333,89.66826958267305
15,11,7577,82686,11,8,4.264854384540936,8.104284999999999,89.62688675469512
15,12,7768,84760,11,11,4.297214378218332,11.603733333333334,89.33420734097093
15,13,7636,83421,11,10,4.286098198009428,9.819189999999999,89.38913704918181
15,14,7650,83397,11,10,4.283866783877995,9.881820000000001,89.31937323086359
15,15,7704,84111,11,7,4.288728371841468,16.985075000000002,89.38615798730524
15,16,7506,81873,11,8,4.2881151700861535,13.769403333333335,89.60601611098538
15,17,7688,83936,11,8,4.279458693635103,9.843481666666666,89.43780269734242
15,18,7543,82343,11,8,4.278428290467984,9.803551666666667,89.71413569051067
15,19,7729,84366,11,11,4.269847450511063,9.865063333333334,89.27055494872303
15,20,7608,83018,11,11,4.286443332018927,9.22907,89.60613897615184
16,1,7554,82488,11,9,4.242382273188598,7.668113333333333,90.03021539223286
16,2,7738,84425,11,7,4.231889632764711,8.521158333333334,89.98713975876241
16,3,7569,82563,11,10,4.228511403531951,8.558468333333334,89.9500146107977
16,4,7702,83950,11,10,4.231867433999827,7.876538333333333,89.8538418220427
16,5,7668,83707,11,7,4.249340533168145,8.05008,89.92335385479839
16,6,7701,84136,11,11,4.241994854131498,8.669651666666665,89.72216346200125
16,7,7532,82211,11,9,4.244142461940166,8.485546666666666,89.92357548065185
16,8,7602,83004,11,9,4.252705443523634,9.298815,89.89307582158264
16,9,7632,83260,11,9,4.229242830843815,8.148053333333333,89.87058014427338
16,10,7570,82613,11,10,4.259425038749449,11.028739999999999,89.94351587995679
16,11,7576,82690,11,10,4.223814537134811,8.278175,90.01938421288038
16,12,7768,84762,11,10,4.256484652420186,10.88849,89.7516573453494
16,13,7637,83423,11,7,4.24691390576579,11.039449999999999,89.84159019940776
16,14,7647,83384,11,9,4.231171893117127,7.840935,89.81346068198069
16,15,7704,84109,11,8,4.235527987625477,10.447968333333334,89.82446797697712
16,16,7510,81891,11,8,4.2404366446959605,8.117388333333333,89.91788882656921
16,17,7691,83941,11,10,4.237274399081177,8.669218333333333,89.79533598089387
16,18,7549,82346,11,10,4.235651325561884,7.724333333333333,90.01833396612952
16,19,7728,84379,11,9,4.218078973645618,7.774436666666667,89.81529779178881
16,20,7608,83027,11,8,4.2492375521381005,7.533551666666667,89.96497043817888
17,1,7557,82485,11,9,4.493004328437211,8.706018333333333,86.322816371008
17,2,7744,84427,11,11,4.485529356060606,8.582628333333334,86.28678698934114
