case_id,min,max,duration
.Models.MUs.product1:1133,2020-01-01 03:11:55.684100,2020-01-01 03:15:46.740200,0 days 00:03:51.056100
.Models.MUs.product1:1134,2020-01-01 03:12:14.025300,2020-01-01 03:16:47.763300,0 days 00:04:33.738000
.Models.MUs.product1:1135,2020-01-01 03:12:42.513700,2020-01-01 03:17:01.984100,0 days 00:04:19.470400
.Models.MUs.product1:1136,2020-01-01 03:12:46.179100,2020-01-01 03:16:47.763300,0 days 00:04:01.584200
.Models.MUs.product1:1137,2020-01-01 03:14:05.661500,2020-01-01 03:17:32.831100,0 days 00:03:27.169600
.Models.MUs.product1:1138,2020-01-01 03:14:10.527800,2020-01-01 03:18:02.763300,0 days 00:03:52.235500
.Models.MUs.product1:1139,2020-01-01 03:14:20.756700,2020-01-01 03:17:21.798900,0 days 00:03:01.042200
.Models.MUs.product1:1140,2020-01-01 03:14:23.322200,2020-01-01 03:18:11.520700,0 days 00:03:48.198500
.Models.MUs.product1:1141,2020-01-01 03:15:02.707400,2020-01-01 03:19:15.627600,0 days 00:04:12.920200
.Models.MUs.product1:1142,2020-01-01 03:15:32.355400,2020-01-01 03:19:39.959300,0 days 00:04:07.603900
.Models.MUs.product1:1143,2020-01-01 03:15:33.091600,2020-01-01 03:18:28.785400,0 days 00:02:55.693800
.Models.MUs.product1:1144,2020-01-01 03:15:39.448300,2020-01-01 03:19:39.959300,0 days 00:04:00.511000
.Models.MUs.product1:1145,2020-01-01 03:15:42.369900,2020-01-01 03:19:39.959300,0 days 00:03:57.589400
.Models.MUs.product1:1146,2020-01-01 03:15:44.341400,2020-01-01 03:20:32.763300,0 days 00:04:48.421900
.Models.MUs.product1:1147,2020-01-01 03:15:48.675600,2020-01-01 03:20:23.355000,0 days 00:04:34.679400
.Models.MUs.product1:1148,2020-01-01 03:15:50.777100,2020-01-01 03:19:00.586100,0 days 00:03:09.809000
.Models.MUs.product1:1149,2020-01-01 03:15:56.027700,2020-01-01 03:19:17.447500,0 days 00:03:21.419800
.Models.MUs.product1:1150,2020-01-01 03:16:06.464500,2020-01-01 03:20:23.355000,0 days 00:04:16.890500
.Models.MUs.product1:1151,2020-01-01 03:16:25.331600,2020-01-01 03:20:10.562100,0 days 00:03:45.230500
.Models.MUs.product1:1152,2020-01-01 03:16:28.476400,2020-01-01 03:20:35.627600,0 days 00:04:07.151200
.Models.MUs.product1:1153,2020-01-01 03:16:33.038800,2020-01-01 03:19:53.895500,0 days 00:03:20.856700
.Models.MUs.product1:1154,2020-01-01 03:16:37.885500,2020-01-01 03:20:15.041300,0 days 00:03:37.155800
.Models.MUs.product1:1155,2020-01-01 03:16:42.668400,2020-01-01 03:21:15.627600,0 days 00:04:32.959200
.Models.MUs.product1:1156,2020-01-01 03:16:49.070800,2020-01-01 03:19:53.040300,0 days 00:03:03.969500
.Models.MUs.product1:1157,2020-01-01 03:16:49.338800,2020-01-01 03:19:56.866400,0 days 00:03:07.527600
.Models.MUs.product1:1158,2020-01-01 03:16:53.036600,2020-01-01 03:21:47.763300,0 days 00:04:54.726700
.Models.MUs.product1:1159,2020-01-01 03:16:53.117200,2020-01-01 03:21:20.821600,0 days 00:04:27.704400
.Models.MUs.product1:1160,2020-01-01 03:17:05.381900,2020-01-01 03:21:47.763300,0 days 00:04:42.381400
.Models.MUs.product1:1161,2020-01-01 03:17:46.144900,2020-01-01 03:21:45.729000,0 days 00:03:59.584100
.Models.MUs.product1:1162,2020-01-01 03:18:04.378300,2020-01-01 03:21:30.914500,0 days 00:03:26.536200
.Models.MUs.product1:1163,2020-01-01 03:18:10.078400,2020-01-01 03:21:47.615000,0 days 00:03:37.536600
.Models.MUs.product1:1164,2020-01-01 03:18:32.203800,2020-01-01 03:22:04.247800,0 days 00:03:32.044000
.Models.MUs.product1:1165,2020-01-01 03:18:43.487000,2020-01-01 03:21:55.627600,0 days 00:03:12.140600
.Models.MUs.product1:1166,2020-01-01 03:18:47.435700,2020-01-01 03:24:17.763300,0 days 00:05:30.327600
.Models.MUs.product1:1167,2020-01-01 03:18:49.867300,2020-01-01 03:21:48.351600,0 days 00:02:58.484300
.Models.MUs.product1:1168,2020-01-01 03:18:51.338000,2020-01-01 03:23:24.959300,0 days 00:04:33.621300
.Models.MUs.product1:1169,2020-01-01 03:18:52.768100,2020-01-01 03:22:25.729000,0 days 00:03:32.960900
.Models.MUs.product1:1170,2020-01-01 03:19:32.096900,2020-01-01 03:23:48.772800,0 days 00:04:16.675900
.Models.MUs.product1:1171,2020-01-01 03:19:32.170500,2020-01-01 03:23:26.238600,0 days 00:03:54.068100
.Models.MUs.product1:1172,2020-01-01 03:19:36.360000,2020-01-01 03:23:02.793300,0 days 00:03:26.433300
.Models.MUs.product1:1173,2020-01-01 03:20:02.048000,2020-01-01 03:24:39.959300,0 days 00:04:37.911300
.Models.MUs.product1:1174,2020-01-01 03:20:12.016900,2020-01-01 03:23:30.717800,0 days 00:03:18.700900
.Models.MUs.product1:1175,2020-01-01 03:20:13.687200,2020-01-01 03:23:24.959300,0 days 00:03:11.272100
.Models.MUs.product1:1176,2020-01-01 03:20:22.697900,2020-01-01 03:24:10.541300,0 days 00:03:47.843400
.Models.MUs.product1:1177,2020-01-01 03:20:28.990400,2020-01-01 03:25:05.729000,0 days 00:04:36.738600
.Models.MUs.product1:1178,2020-01-01 03:21:28.618500,2020-01-01 03:25:32.763300,0 days 00:04:04.144800
.Models.MUs.product1:1179,2020-01-01 03:21:33.581000,2020-01-01 03:25:08.303400,0 days 00:03:34.722400
.Models.MUs.product1:1180,2020-01-01 03:21:36.540600,2020-01-01 03:25:12.591600,0 days 00:03:36.051000
.Models.MUs.product1:1181,2020-01-01 03:21:54.141100,2020-01-01 03:25:54.959300,0 days 00:04:00.818200
.Models.MUs.product1:1182,2020-01-01 03:21:56.241800,2020-01-01 03:25:30.541300,0 days 00:03:34.299500
.Models.MUs.product1:1183,2020-01-01 03:22:05.841600,2020-01-01 03:26:29.060900,0 days 00:04:23.219300
.Models.MUs.product1:1184,2020-01-01 03:23:01.466900,2020-01-01 03:27:03.438000,0 days 00:04:01.971100
.Models.MUs.product1:1185,2020-01-01 03:23:05.814600,2020-01-01 03:28:35.994200,0 days 00:05:30.179600
.Models.MUs.product1:1186,2020-01-01 03:23:09.282500,2020-01-01 03:27:32.510000,0 days 00:04:23.227500
.Models.MUs.product1:1187,2020-01-01 03:23:13.131600,2020-01-01 03:26:24.066000,0 days 00:03:10.934400
.Models.MUs.product1:1188,2020-01-01 03:23:39.966900,2020-01-01 03:26:55.926900,0 days 00:03:15.960000
.Models.MUs.product1:1189,2020-01-01 03:23:42.895400,2020-01-01 03:28:02.763300,0 days 00:04:19.867900
.Models.MUs.product1:1190,2020-01-01 03:24:10.621000,2020-01-01 03:26:31.202100,0 days 00:02:20.581100
.Models.MUs.product1:1191,2020-01-01 03:24:11.559100,2020-01-01 03:28:35.994200,0 days 00:04:24.435100
.Models.MUs.product1:1192,2020-01-01 03:24:22.365600,2020-01-01 03:27:32.528000,0 days 00:03:10.162400
.Models.MUs.product1:1193,2020-01-01 03:24:33.140100,2020-01-01 03:28:13.024700,0 days 00:03:39.884600
.Models.MUs.product1:1194,2020-01-01 03:24:36.271400,2020-01-01 03:28:32.555300,0 days 00:03:56.283900
.Models.MUs.product1:1195,2020-01-01 03:25:16.985800,2020-01-01 03:29:12.555300,0 days 00:03:55.569500
.Models.MUs.product1:1196,2020-01-01 03:25:19.734800,2020-01-01 03:28:53.024700,0 days 00:03:33.289900
.Models.MUs.product1:1197,2020-01-01 03:25:25.675000,2020-01-01 03:29:12.555300,0 days 00:03:46.880300
.Models.MUs.product1:1198,2020-01-01 03:25:30.765800,2020-01-01 03:28:53.024700,0 days 00:03:22.258900
.Models.MUs.product1:1199,2020-01-01 03:25:32.881200,2020-01-01 03:28:32.555300,0 days 00:02:59.674100
.Models.MUs.product1:1200,2020-01-01 03:25:33.085300,2020-01-01 03:29:05.370600,0 days 00:03:32.285300
.Models.MUs.product1:1201,2020-01-01 03:25:45.326600,2020-01-01 03:28:49.816300,0 days 00:03:04.489700
.Models.MUs.product1:1202,2020-01-01 03:25:45.657400,2020-01-01 03:29:12.555300,0 days 00:03:26.897900
.Models.MUs.product1:1203,2020-01-01 03:26:00.846300,2020-01-01 03:29:52.555300,0 days 00:03:51.709000
.Models.MUs.product1:1204,2020-01-01 03:26:02.190300,2020-01-01 03:30:01.075500,0 days 00:03:58.885200
.Models.MUs.product1:1205,2020-01-01 03:26:15.781800,2020-01-01 03:29:39.608800,0 days 00:03:23.827000
.Models.MUs.product1:1206,2020-01-01 03:26:16.643100,2020-01-01 03:29:52.555300,0 days 00:03:35.912200
.Models.MUs.product1:1207,2020-01-01 03:26:37.546200,2020-01-01 03:31:05.994200,0 days 00:04:28.448000
.Models.MUs.product1:1208,2020-01-01 03:26:48.220900,2020-01-01 03:30:17.742100,0 days 00:03:29.521200
.Models.MUs.product1:1209,2020-01-01 03:27:01.748800,2020-01-01 03:31:05.994200,0 days 00:04:04.245400
.Models.MUs.product1:1210,2020-01-01 03:27:04.880500,2020-01-01 03:31:12.555300,0 days 00:04:07.674800
.Models.MUs.product1:1211,2020-01-01 03:27:12.584800,2020-01-01 03:31:05.994200,0 days 00:03:53.409400
.Models.MUs.product1:1212,2020-01-01 03:27:21.631300,2020-01-01 03:30:13.024700,0 days 00:02:51.393400
.Models.MUs.product1:1213,2020-01-01 03:27:25.377300,2020-01-01 03:30:54.969900,0 days 00:03:29.592600
.Models.MUs.product1:1214,2020-01-01 03:27:27.061300,2020-01-01 03:30:53.024700,0 days 00:03:25.963400
.Models.MUs.product1:1215,2020-01-01 03:27:27.212400,2020-01-01 03:30:11.667400,0 days 00:02:44.455000
.Models.MUs.product1:1216,2020-01-01 03:27:47.450100,2020-01-01 03:33:35.994200,0 days 00:05:48.544100
.Models.MUs.product1:1217,2020-01-01 03:27:58.920300,2020-01-01 03:31:29.684400,0 days 00:03:30.764100
.Models.MUs.product1:1218,2020-01-01 03:28:04.484300,2020-01-01 03:32:58.022900,0 days 00:04:53.538600
.Models.MUs.product1:1219,2020-01-01 03:28:05.291200,2020-01-01 03:31:53.808500,0 days 00:03:48.517300
.Models.MUs.product1:1220,2020-01-01 03:28:13.669400,2020-01-01 03:32:27.395800,0 days 00:04:13.726400
.Models.MUs.product1:1221,2020-01-01 03:28:13.757100,2020-01-01 03:32:20.994200,0 days 00:04:07.237100
.Models.MUs.product1:1222,2020-01-01 03:28:32.846100,2020-01-01 03:31:38.372200,0 days 00:03:05.526100
.Models.MUs.product1:1223,2020-01-01 03:28:58.502900,2020-01-01 03:33:14.689500,0 days 00:04:16.186600
.Models.MUs.product1:1224,2020-01-01 03:29:23.856600,2020-01-01 03:32:47.972000,0 days 00:03:24.115400
.Models.MUs.product1:1225,2020-01-01 03:29:27.307400,2020-01-01 03:33:35.994200,0 days 00:04:08.686800
.Models.MUs.product1:1226,2020-01-01 03:29:38.380300,2020-01-01 03:34:17.763300,0 days 00:04:39.383000
.Models.MUs.product1:1227,2020-01-01 03:29:43.117500,2020-01-01 03:34:50.994200,0 days 00:05:07.876700
.Models.MUs.product1:1228,2020-01-01 03:29:58.445100,2020-01-01 03:32:41.108300,0 days 00:02:42.663200
.Models.MUs.product1:1229,2020-01-01 03:30:18.902500,2020-01-01 03:33:35.994200,0 days 00:03:17.091700
.Models.MUs.product1:1230,2020-01-01 03:30:19.219500,2020-01-01 03:34:03.414000,0 days 00:03:44.194500
.Models.MUs.product1:1231,2020-01-01 03:30:30.434700,2020-01-01 03:33:31.356200,0 days 00:03:00.921500
.Models.MUs.product1:1232,2020-01-01 03:30:31.542700,2020-01-01 03:34:13.799900,0 days 00:03:42.257200
.Models.MUs.product1:1233,2020-01-01 03:30:33.859500,2020-01-01 03:34:50.994200,0 days 00:04:17.134700
.Models.MUs.product1:1234,2020-01-01 03:30:49.946800,2020-01-01 03:34:19.033700,0 days 00:03:29.086900
.Models.MUs.product1:1235,2020-01-01 03:30:51.599800,2020-01-01 03:34:43.414000,0 days 00:03:51.814200
